Date,Volume,Close,Average
2015-04-01,40621437,124.25,124.3225
2015-03-31,42090553,124.43,125.34125
2015-03-30,47099670,126.37,125.205
2015-03-27,39546151,123.25,123.8575
2015-03-26,47572869,124.24,123.62
2015-03-25,51655177,123.38,125.03
2015-03-24,32842304,126.69,127.13
2015-03-23,37709674,127.21,127.175
2015-03-20,68695136,125.9,126.9275
2015-03-19,45809490,127.495,128.222525
2015-03-18,65270945,128.47,127.75
2015-03-17,51023104,127.04,126.4775
2015-03-16,35874300,124.95,124.1625
2015-03-13,51827283,123.59,123.991275
2015-03-12,48362719,124.45,123.3225
2015-03-11,68938974,122.24,123.4675
2015-03-10,68856582,124.51,125.485
2015-03-09,88528487,127.14,127.4325
2015-03-06,72842060,126.6,127.6575
2015-03-05,56517146,126.41,127.375
2015-03-04,31666340,128.54,128.88
2015-03-03,37816283,129.36,128.9825
2015-03-02,48096663,129.09,129.23
2015-02-27,62014847,128.46,129.3175
2015-02-26,91287529,130.415,129.17
2015-02-25,74711746,128.79,130.025
2015-02-24,69228130,132.17,132.47
2015-02-23,70974110,133,131.42
2015-02-20,48948419,129.495,128.91625
2015-02-19,37362381,128.45,128.5725
2015-02-18,44891737,128.715,128.1425
2015-02-17,63152405,127.83,127.78
2015-02-13,54272219,127.08,126.8225
2015-02-12,74474466,126.46,126.3925
2015-02-11,73561797,124.88,123.7675
2015-02-10,62008506,122.02,121.125
2015-02-09,38889797,119.72,119.135
2015-02-06,43706567,118.93,119.4125
2015-02-05,42246245,119.94,119.86
2015-02-04,70149743,119.56,119.21975
2015-02-03,51915749,118.65,118.4625
2015-02-02,62739100,118.63,117.9825
2015-01-30,83745461,117.16,118.1025
2015-01-29,84436432,118.9,117.4925
2015-01-28,146477063,115.31,116.59125
2015-01-27,95568749,109.14,110.7675
2015-01-26,55614979,113.1,113.50065
2015-01-23,46464828,112.98,112.64
2015-01-22,53796409,112.4,111.2125
2015-01-21,48575897,109.55,109.4575
2015-01-20,49899907,108.72,108.006675
2015-01-16,78513345,105.99,106.45
2015-01-15,60013996,106.82,108.385
2015-01-14,48956588,109.8,109.4575
2015-01-13,67091928,110.22,110.84
2015-01-12,49650790,109.25,110.82
2015-01-09,53315099,112.01,112.035
2015-01-08,59364547,111.89,110.4925
2015-01-07,40105934,107.75,107.46125
2015-01-06,65797116,106.26,106.215
2015-01-05,64285491,106.25,107.15
2015-01-02,53204626,109.33,109.8775
2014-12-31,41403351,110.38,111.635
2014-12-30,29881477,112.52,113.0475
2014-12-29,27598920,113.91,114.0425
2014-12-26,33720951,113.99,113.155
2014-12-24,14479611,112.01,112.3275
2014-12-23,26028419,112.54,112.89
2014-12-22,45167549,112.94,112.64
2014-12-19,88429770,111.78,112.235
2014-12-18,59006218,112.65,111.9575
2014-12-17,53411773,109.41,108.2975
2014-12-16,60790733,106.745,107.38375
2014-12-15,67218082,108.225,109.21875
2014-12-12,56028138,109.73,110.41
2014-12-11,41471578,111.62,112.255
2014-12-10,44565318,111.95,113.1875
2014-12-09,60208036,114.12,111.99
2014-12-08,57664850,112.4,113.192
2014-12-05,38318895,115,115.4275
2014-12-04,42155776,115.49,115.9375
2014-12-03,43063440,115.93,115.785
2014-12-02,59348940,114.63,114.1575
2014-12-01,83814037,115.07,116.1
2014-11-28,24814402,118.93,118.9125
2014-11-26,40831886,119,118.4675
2014-11-25,68840440,117.6,118.4675
2014-11-24,47450824,118.625,117.71625
2014-11-21,57179298,116.47,116.895
2014-11-20,43395537,116.31,115.7325
2014-11-19,41869160,114.67,114.9125
2014-11-18,44223978,115.47,114.7475
2014-11-17,46746712,113.99,114.71
2014-11-14,44063595,114.18,113.6425
2014-11-13,59522855,112.82,112.4175
2014-11-12,46942431,111.25,110.3575
2014-11-11,27442252,109.7,109.1375
2014-11-10,27195547,108.83,108.9625
2014-11-07,33691535,109.01,108.9075
2014-11-06,34968457,108.7,108.4725
2014-11-05,37435905,108.86,108.84625
2014-11-04,41574365,108.6,108.7925
2014-11-03,52282550,109.4,108.9825
2014-10-31,44639285,108,107.815
2014-10-30,40654793,106.98,106.79725
2014-10-29,52687879,107.34,106.93
2014-10-28,48060949,106.74,106.0575
2014-10-27,34187701,105.11,105.035
2014-10-24,47053916,105.22,105.105
2014-10-23,71074674,104.83,104.39775
2014-10-22,68263146,102.99,103.135
2014-10-21,94623904,102.47,102.445
2014-10-20,77517279,99.76,99.06375
2014-10-17,68179688,97.67,97.745
2014-10-16,72154523,96.26,96.235
2014-10-15,100933600,97.54,97.46
2014-10-14,63688562,98.75,99.5575
2014-10-13,53583368,99.81,100.6825
2014-10-10,66331592,100.73,100.9375
2014-10-09,77376525,101.02,101.3875
2014-10-08,57404674,100.8,99.745
2014-10-07,42094183,98.75,99.2575
2014-10-06,37051182,99.62,99.91
2014-10-03,43469585,99.62,99.5775
2014-10-02,47757828,99.9,99.3575
2014-10-01,51491286,99.18,99.79
2014-09-30,55264139,100.75,100.9075
2014-09-29,49766312,100.11,99.45625
2014-09-26,62370501,100.75,99.6075
2014-09-25,99565849,97.87,99.2025
2014-09-24,59725174,101.75,101.99
2014-09-23,63347200,102.64,101.68
2014-09-22,52722000,101.06,101.395
2014-09-19,70838500,100.96,101.62
2014-09-18,37023900,101.79,101.9075
2014-09-17,60892400,101.58,101.31055
2014-09-16,66818200,100.86,100.2025
2014-09-15,61216500,101.63,102.2325
2014-09-12,62626100,101.66,101.535
2014-09-11,62353100,101.43,100.725
2014-09-10,100741900,101,99.47
2014-09-09,189560600,97.99,99.0725
2014-09-08,46277800,98.36,98.755
2014-09-05,58353200,98.97,98.8675
2014-09-04,85594800,98.12,98.7125
2014-09-03,125233100,98.94,100.955
2014-09-02,53491400,103.3,103.205
2014-08-29,44567000,102.5,102.615
2014-08-28,68389800,102.25,102.045
2014-08-27,46827400,102.13,101.605
2014-08-26,33119800,100.889,101.16725
2014-08-25,40144700,101.54,101.695
2014-08-22,44102400,101.32,100.8175
2014-08-21,33421900,100.58,100.55
2014-08-20,52612800,100.57,100.5125
2014-08-19,69274700,100.53,99.985
2014-08-18,47572000,99.16,98.75
2014-08-15,48951000,97.98,97.7325
2014-08-14,28116000,97.5,97.3
2014-08-13,31916000,97.24,96.6675
2014-08-12,33795000,95.97,96.125
2014-08-11,36585000,95.99,95.543875
2014-08-08,41865000,94.74,94.275
2014-08-07,46711000,94.48,94.865
2014-08-06,38558000,94.96,94.975
2014-08-05,55933000,95.12,95.13
2014-08-04,39958000,95.59,95.9275
2014-08-01,48511000,96.13,95.615
2014-07-31,56843000,95.6,96.385
2014-07-30,33010000,98.15,98.24
2014-07-29,43143000,98.38,98.85
2014-07-28,55318000,99.02,98.4075
2014-07-25,43469000,97.671,97.25025
2014-07-24,45729000,97.03,96.95125
2014-07-23,92918000,97.19,96.415
2014-07-22,55197000,94.72,94.6025
2014-07-21,39079000,93.939,94.41225
2014-07-18,49988000,94.43,93.9525
2014-07-17,57298000,93.0899,93.992225
2014-07-16,53502000,94.78,95.8975
2014-07-15,45477900,95.32,96
2014-07-14,42810000,96.45,96.2125
2014-07-11,34018000,95.22,95.333125
2014-07-10,39686000,95.035,94.46625
2014-07-09,36436000,95.39,95.385
